2025-04-02 19:35:35,634 - INFO - Starting Epoch 1...
2025-04-02 19:59:37,677 - INFO - Epoch 1 (Step 111000): Train loss 4.305, Val loss 4.596
2025-04-02 19:59:50,180 - INFO - Epoch 1 (Step 112000): Train loss 4.257, Val loss 4.573
2025-04-02 20:00:02,559 - INFO - Epoch 1 (Step 113000): Train loss 4.343, Val loss 4.576
2025-04-02 20:00:16,347 - INFO - Epoch 1 (Step 114000): Train loss 4.192, Val loss 4.557
2025-04-02 20:00:28,899 - INFO - Epoch 1 (Step 115000): Train loss 4.209, Val loss 4.595
2025-04-02 20:00:42,704 - INFO - Epoch 1 (Step 116000): Train loss 4.367, Val loss 4.579
2025-04-02 20:00:55,257 - INFO - Epoch 1 (Step 117000): Train loss 4.347, Val loss 4.560
2025-04-02 20:01:07,679 - INFO - Epoch 1 (Step 118000): Train loss 4.202, Val loss 4.559
2025-04-02 20:01:21,470 - INFO - Epoch 1 (Step 119000): Train loss 4.312, Val loss 4.527
2025-04-02 20:01:33,912 - INFO - Epoch 1 (Step 120000): Train loss 4.417, Val loss 4.554
2025-04-02 20:01:47,828 - INFO - Epoch 1 (Step 121000): Train loss 4.340, Val loss 4.549
2025-04-02 20:02:00,426 - INFO - Epoch 1 (Step 122000): Train loss 4.344, Val loss 4.544
2025-04-02 20:02:12,975 - INFO - Epoch 1 (Step 123000): Train loss 4.234, Val loss 4.547
2025-04-02 20:02:26,808 - INFO - Epoch 1 (Step 124000): Train loss 4.125, Val loss 4.556
2025-04-02 20:02:39,321 - INFO - Epoch 1 (Step 125000): Train loss 4.280, Val loss 4.530
2025-04-02 20:02:53,117 - INFO - Epoch 1 (Step 126000): Train loss 4.283, Val loss 4.529
2025-04-02 20:03:05,572 - INFO - Epoch 1 (Step 127000): Train loss 4.380, Val loss 4.510
2025-04-02 20:03:18,093 - INFO - Epoch 1 (Step 128000): Train loss 4.239, Val loss 4.516
2025-04-02 20:03:31,901 - INFO - Epoch 1 (Step 129000): Train loss 4.342, Val loss 4.525
2025-04-02 20:03:44,340 - INFO - Epoch 1 (Step 130000): Train loss 4.110, Val loss 4.502
2025-04-02 20:03:56,798 - INFO - Epoch 1 (Step 131000): Train loss 4.219, Val loss 4.517
2025-04-02 20:04:10,577 - INFO - Epoch 1 (Step 132000): Train loss 4.325, Val loss 4.531
